"Series_Reference","Period","Data_Value","Status Code","Type","Group","Description"
"CPIQ.SE901202PCCA","2023.09",0.8,"FINAL","Percentage contribution annual","Class","Fish and other seafood"
"CPIQ.SE901202PCCP","2023.09",0.2,"FINAL","Percentage contribution quarterly","Class","Fish and other seafood"
"CPIQ.SE901202PPCA","2023.09",0.043,"FINAL","Percentage points contribution annual","Class","Fish and other seafood"
"CPIQ.SE901202PPCP","2023.09",0.003,"FINAL","Percentage points contribution quarterly","Class","Fish and other seafood"
"CPIQ.SE9012IPCA","2023.09",2.53,"FINAL","Index point contribution annual","Subgroup","Meat, poultry and fish"
"CPIQ.SE9012IPCP","2023.09",0.1,"FINAL","Index point contribution quarterly","Subgroup","Meat, poultry and fish"
"CPIQ.SE9012PCCA","2023.09",3.8,"FINAL","Percentage contribution annual","Subgroup","Meat, poultry and fish"
"CPIQ.SE9012PCCP","2023.09",0.5,"FINAL","Percentage contribution quarterly","Subgroup","Meat, poultry and fish"
"CPIQ.SE9012PPCA","2023.09",0.214,"FINAL","Percentage points contribution annual","Subgroup","Meat, poultry and fish"
"CPIQ.SE9012PPCP","2023.09",0.009,"FINAL","Percentage points contribution quarterly","Subgroup","Meat, poultry and fish"
"CPIQ.SE9013","2023.09",1282,"FINAL","Main CPI","Subgroup","Grocery food"
"CPIQ.SE901301","2023.09",1282,"FINAL","Main CPI","Class","Bread and cereals"
"CPIQ.SE9013011","2023.09",1333,"FINAL","Main CPI","Section","Bread"
"CPIQ.SE9013012","2023.09",1237,"FINAL","Main CPI","Section","Cakes and biscuits"
"CPIQ.SE9013013","2023.09",1165,"FINAL","Main CPI","Section","Breakfast cereals"
"CPIQ.SE9013014","2023.09",1351,"FINAL","Main CPI","Section","Pasta products"
"CPIQ.SE9013015","2023.09",1423,"FINAL","Main CPI","Section","Pastry-cook products"
"CPIQ.SE9013016","2023.09",1279,"FINAL","Main CPI","Section","Other cereal products"
"CPIQ.SE901301IPCA","2023.09",2.34,"FINAL","Index point contribution annual","Class","Bread and cereals"
"CPIQ.SE901301IPCP","2023.09",0.16,"FINAL","Index point contribution quarterly","Class","Bread and cereals"
"CPIQ.SE901301PCCA","2023.09",3.5,"FINAL","Percentage contribution annual","Class","Bread and cereals"
"CPIQ.SE901301PCCP","2023.09",0.7,"FINAL","Percentage contribution quarterly","Class","Bread and cereals"
"CPIQ.SE901301PPCA","2023.09",0.198,"FINAL","Percentage points contribution annual","Class","Bread and cereals"
"CPIQ.SE901301PPCP","2023.09",0.013,"FINAL","Percentage points contribution quarterly","Class","Bread and cereals"
"CPIQ.SE901302","2023.09",1346,"FINAL","Main CPI","Class","Milk, cheese and eggs"
"CPIQ.SE9013021","2023.09",1135,"FINAL","Main CPI","Section","Fresh milk"
"CPIQ.SE9013022","2023.09",1157,"FINAL","Main CPI","Section","Preserved milk"
"CPIQ.SE9013023","2023.09",1382,"FINAL","Main CPI","Section","Yoghurt (fresh, frozen)"
"CPIQ.SE9013024","2023.09",1327,"FINAL","Main CPI","Section","Cheese"
"CPIQ.SE9013025","2023.09",1121,"FINAL","Main CPI","Section","Other milk products"
"CPIQ.SE9013026","2023.09",2190,"FINAL","Main CPI","Section","Eggs"
"CPIQ.SE901302IPCA","2023.09",2.42,"FINAL","Index point contribution annual","Class","Milk, cheese and eggs"
"CPIQ.SE901302IPCP","2023.09",-0.09,"FINAL","Index point contribution quarterly","Class","Milk, cheese and eggs"
"CPIQ.SE901302PCCA","2023.09",3.6,"FINAL","Percentage contribution annual","Class","Milk, cheese and eggs"
"CPIQ.SE901302PCCP","2023.09",-0.4,"FINAL","Percentage contribution quarterly","Class","Milk, cheese and eggs"
"CPIQ.SE901302PPCA","2023.09",0.205,"FINAL","Percentage points contribution annual","Class","Milk, cheese and eggs"
"CPIQ.SE901302PPCP","2023.09",-0.007,"FINAL","Percentage points contribution quarterly","Class","Milk, cheese and eggs"
"CPIQ.SE901303","2023.09",1192,"FINAL","Main CPI","Class","Oils and fats"
"CPIQ.SE901303IPCA","2023.09",0.27,"FINAL","Index point contribution annual","Class","Oils and fats"
"CPIQ.SE901303IPCP","2023.09",0.02,"FINAL","Index point contribution quarterly","Class","Oils and fats"
"CPIQ.SE901303PCCA","2023.09",0.4,"FINAL","Percentage contribution annual","Class","Oils and fats"
"CPIQ.SE901303PCCP","2023.09",0.1,"FINAL","Percentage contribution quarterly","Class","Oils and fats"
"CPIQ.SE901303PPCA","2023.09",0.023,"FINAL","Percentage points contribution annual","Class","Oils and fats"
"CPIQ.SE901303PPCP","2023.09",0.001,"FINAL","Percentage points contribution quarterly","Class","Oils and fats"
"CPIQ.SE901304","2023.09",1249,"FINAL","Main CPI","Class","Food additives and condiments"
"CPIQ.SE901304IPCA","2023.09",0.66,"FINAL","Index point contribution annual","Class","Food additives and condiments"
"CPIQ.SE901304IPCP","2023.09",0.08,"FINAL","Index point contribution quarterly","Class","Food additives and condiments"
"CPIQ.SE901304PCCA","2023.09",1,"FINAL","Percentage contribution annual","Class","Food additives and condiments"
"CPIQ.SE901304PCCP","2023.09",0.3,"FINAL","Percentage contribution quarterly","Class","Food additives and condiments"
"CPIQ.SE901304PPCA","2023.09",0.056,"FINAL","Percentage points contribution annual","Class","Food additives and condiments"
"CPIQ.SE901304PPCP","2023.09",0.006,"FINAL","Percentage points contribution quarterly","Class","Food additives and condiments"
"CPIQ.SE901305","2023.09",1259,"FINAL","Main CPI","Class","Confectionery, nuts and snacks"
"CPIQ.SE901305IPCA","2023.09",1.93,"FINAL","Index point contribution annual","Class","Confectionery, nuts and snacks"
"CPIQ.SE901305IPCP","2023.09",0.09,"FINAL","Index point contribution quarterly","Class","Confectionery, nuts and snacks"
"CPIQ.SE901305PCCA","2023.09",2.9,"FINAL","Percentage contribution annual","Class","Confectionery, nuts and snacks"
"CPIQ.SE901305PCCP","2023.09",0.4,"FINAL","Percentage contribution quarterly","Class","Confectionery, nuts and snacks"
"CPIQ.SE901305PPCA","2023.09",0.164,"FINAL","Percentage points contribution annual","Class","Confectionery, nuts and snacks"
"CPIQ.SE901305PPCP","2023.09",0.007,"FINAL","Percentage points contribution quarterly","Class","Confectionery, nuts and snacks"
"CPIQ.SE901306","2023.09",1226,"FINAL","Main CPI","Class","Other grocery food"
"CPIQ.SE901306IPCA","2023.09",0.5,"FINAL","Index point contribution annual","Class","Other grocery food"
"CPIQ.SE901306IPCP","2023.09",-0.02,"FINAL","Index point contribution quarterly","Class","Other grocery food"
